SR NO ,Job Title,Company,Skills,Location,Job Type,Salary
1,Data Scientist,TechCorp,"python, machine learning, pandas",Pune,Full-time,1200000
2,Web Developer,Webify,"react, javascript, html",Remote,Contract,800000
3,Backend Engineer,CodeBase,"node.js, express, mongodb",Bangalore,Full-time,1000000
4,Frontend Developer,PixelSoft,"vue.js, css, html",Hyderabad,Part-time,600000
5,DevOps Engineer,CloudWorks,"aws, docker, kubernetes",Mumbai,Full-time,1300000
6,AI Researcher,DeepMind,"python, tensorflow, llms",Remote,Full-time,1500000
7,Cybersecurity Analyst,SecureNet,"network security, penetration testing",Delhi,Contract,950000
8,Blockchain Developer,ChainTech,"solidity, ethereum, smart contracts",Pune,Full-time,1250000
9,Database Administrator,DataBank,"sql, oracle, dbms",Chennai,Full-time,900000
10,Mobile App Developer,Appify,"flutter, dart, firebase",Remote,Part-time,700000
11,Product Manager,InnovateNow,"agile, product roadmaps",Bangalore,Full-time,1400000
12,System Administrator,InfraTech,"linux, shell scripting, monitoring",Mumbai,Full-time,850000
13,ML Engineer,AlgoWorks,"scikit-learn, deep learning",Hyderabad,Full-time,1100000
14,UI/UX Designer,Designo,"figma, adobe xd, wireframing",Delhi,Contract,650000
15,Cloud Architect,SkyNet,"aws, azure, architecture",Remote,Full-time,1600000
16,Software Engineer,SoftNova,"java, spring boot",Chennai,Full-time,1050000
17,Technical Writer,DocuSoft,"documentation, markdown, APIs",Remote,Part-time,550000
18,Game Developer,GameHub,"unity, c#, animation",Pune,Contract,950000
19,Network Engineer,ConnectTech,"networking, cisco, troubleshooting",Bangalore,Full-time,980000
20,Business Analyst,BizSolutions,"excel, sql, data analysis",Hyderabad,Full-time,900000
21,Backend Engineer,InnovateX,"client relations, campaign strategy, presentations",Remote,Full-time,2077390
22,Pharmacist,DevSolutions,"prescription handling, pharma knowledge",Mumbai,Part-time,2156932
23,Mobile App Developer,Global Travels,"client relations, campaign strategy, presentations",Bangalore,Internship,505632
24,Backend Engineer,BrightFuture School,"adobe photoshop, illustrator, creativity",Mumbai,Internship,1624666
25,Wedding Manager,TechNova,"figma, user testing, wireframing",Bangalore,Contract,747828
26,UX Designer,BizConsult,"aws, docker, kubernetes",Hyderabad,Contract,2193494
27,UI/UX Designer,Global Travels,"python, pandas, numpy",Remote,Contract,2230063
28,Account Director,TechNova,"test case writing, selenium, bug tracking",Hyderabad,Contract,1940328
29,Customer Support Specialist,PharmaCare,"react, javascript, css",Pune,Contract,2320990
30,UX Designer,TechNova,"python, pandas, numpy",Delhi,Internship,2432957
31,ML Engineer,BuildRight Infra,"python, pandas, numpy",Delhi,Part-time,1374737
32,UI/UX Designer,CloudNet,"curriculum planning, classroom management, communication",Bangalore,Full-time,1334124
33,Restaurant Manager,DesignCrafters,"node.js, express, mongodb",Hyderabad,Contract,720283
34,Account Director,CreativeHub Agency,"customer service, ticketing, troubleshooting",Mumbai,Internship,1830166
35,Hotel Receptionist,DesignCrafters,"typing, accuracy, database entry",Hyderabad,Internship,1161307
36,HR Coordinator,DesignCrafters,"event coordination, client management, budgeting",Pune,Part-time,1522032
37,Data Entry Clerk,DataWiz,"autocad, site planning, structural analysis",Mumbai,Contract,926540
38,System Administrator,Global Travels,"sql, data visualization, problem solving",Bangalore,Part-time,982811
39,Web Developer,HealthFirst Clinic,"sql, data analysis, tableau",Hyderabad,Part-time,1699993
40,System Administrator,EduWise Academy,"excel, financial modeling, data interpretation",Delhi,Part-time,592744
41,Web Developer,BuildRight Infra,"excel, financial modeling, data interpretation",Remote,Contract,2318018
42,Database Administrator,DataWiz,"react, javascript, css",Hyderabad,Part-time,657989
43,Game Developer,DreamWeddings Inc.,"prescription handling, pharma knowledge",Delhi,Contract,1394042
44,Blockchain Developer,InnovateX,"customer service, ticketing, troubleshooting",Pune,Part-time,557679
45,HR Coordinator,EduWise Academy,"autocad, site planning, structural analysis",Delhi,Full-time,1815445
46,Graphic Designer,TechNova,"test case writing, selenium, bug tracking",Bangalore,Full-time,1345753
47,Restaurant Manager,PharmaCare,"java, spring, hibernate",Bangalore,Internship,843064
48,Pharmacist,TechNova,"react, javascript, css",Mumbai,Internship,2089253
49,Hotel Receptionist,CreativeHub Agency,"sql, data analysis, tableau",Pune,Full-time,2415871
50,UI/UX Designer,DataWiz,"figma, user testing, wireframing",Delhi,Contract,2204111
51,HR Coordinator,DreamWeddings Inc.,"java, spring, hibernate",Remote,Part-time,1412312
52,Financial Analyst,InnovateX,"salesforce, CRM, negotiation",Mumbai,Full-time,773117
53,AI Researcher,BuildRight Infra,"inventory, hospitality management, POS systems",Delhi,Part-time,915417
54,Web Developer,DataWiz,"typing, accuracy, database entry",Bangalore,Full-time,1649387
55,Civil Engineer,Global Travels,"customer service, ticketing, troubleshooting",Mumbai,Internship,996758
56,Business Analyst,EduWise Academy,"node.js, express, mongodb",Bangalore,Contract,1156071
57,Wedding Manager,HealthFirst Clinic,"excel, financial modeling, data interpretation",Pune,Contract,1082398
58,Frontend Developer,City Hospital,"inventory, hospitality management, POS systems",Remote,Contract,1473267
59,Wedding Manager,CreativeHub Agency,"test case writing, selenium, bug tracking",Pune,Part-time,2068380
60,Teacher,CloudNet,"excel, financial modeling, data interpretation",Hyderabad,Contract,2269413
61,Pharmacist,DesignCrafters,"excel, financial modeling, data interpretation",Bangalore,Full-time,1355088
62,Wedding Manager,InnovateX,"figma, user testing, wireframing",Mumbai,Part-time,2075638
63,Business Analyst,BuildRight Infra,"adobe photoshop, illustrator, creativity",Delhi,Internship,1028266
64,Frontend Developer,FinEdge Solutions,"legal documentation, compliance, case review",Hyderabad,Contract,1917679
65,Data Scientist,BuildRight Infra,"node.js, express, mongodb",Pune,Contract,1894192
66,Database Administrator,InnovateX,"python, pandas, numpy",Mumbai,Full-time,689999
67,Game Developer,HealthFirst Clinic,"customer service, ticketing, troubleshooting",Mumbai,Contract,2112489
68,Operations Manager,BizConsult,"java, spring, hibernate",Remote,Part-time,877068
69,Game Developer,BrightFuture School,"salesforce, CRM, negotiation",Pune,Contract,2170263
70,UX Designer,BuildRight Infra,"event coordination, client management, budgeting",Remote,Part-time,2205227
71,DevOps Engineer,CreativeHub Agency,"figma, user testing, wireframing",Bangalore,Full-time,1294095
72,HR Coordinator,EduWise Academy,"excel, financial modeling, data interpretation",Pune,Full-time,1803286
73,UX Designer,CreativeHub Agency,"sql, data visualization, problem solving",Bangalore,Part-time,2276306
74,Product Manager,DreamWeddings Inc.,"client relations, campaign strategy, presentations",Bangalore,Part-time,2344482
75,Account Director,DataWiz,"excel, financial modeling, data interpretation",Bangalore,Contract,704364
76,Legal Advisor,TechNova,"client relations, campaign strategy, presentations",Pune,Contract,2442315
77,Cybersecurity Analyst,TechNova,"curriculum planning, classroom management, communication",Delhi,Internship,2135162
78,Software Engineer,HealthFirst Clinic,"excel, financial modeling, data interpretation",Delhi,Part-time,563102
79,Cybersecurity Analyst,InnovateX,"curriculum planning, classroom management, communication",Hyderabad,Contract,1729276
80,AI Researcher,BrightFuture School,"curriculum planning, classroom management, communication",Remote,Internship,1993594
81,QA Analyst,CreativeHub Agency,"prescription handling, pharma knowledge",Remote,Part-time,875238
82,Web Developer,BizConsult,"java, spring, hibernate",Delhi,Full-time,1092554
83,Graphic Designer,DesignCrafters,"react, javascript, css",Pune,Contract,646172
84,Restaurant Manager,InnovateX,"react, javascript, css",Bangalore,Contract,1712003
85,Civil Engineer,DreamWeddings Inc.,"sql, data analysis, tableau",Pune,Contract,1997099
86,Marketing Manager,BuildRight Infra,"interviewing, HR software, conflict resolution",Pune,Part-time,1434138
87,Product Manager,EduWise Academy,"client relations, campaign strategy, presentations",Pune,Internship,1334602
88,Hotel Receptionist,HealthFirst Clinic,"sql, data analysis, tableau",Pune,Part-time,2040420
89,Pharmacist,HealthFirst Clinic,"java, spring, hibernate",Bangalore,Full-time,548978
90,ML Engineer,HealthFirst Clinic,"java, spring, hibernate",Remote,Contract,616904
91,Technical Writer,FinEdge Solutions,"salesforce, CRM, negotiation",Pune,Part-time,1973698
92,Wedding Manager,BrightFuture School,"react, javascript, css",Hyderabad,Part-time,1691589
93,DevOps Engineer,InnovateX,"check-in, phone etiquette, scheduling",Delhi,Contract,1908258
94,Data Entry Clerk,HealthFirst Clinic,"excel, financial modeling, data interpretation",Pune,Part-time,1072546
95,Mobile App Developer,EduWise Academy,"react, javascript, css",Pune,Full-time,1516745
96,Product Manager,DevSolutions,"patient care, diagnosis, medical documentation",Delhi,Part-time,1580313
97,Business Analyst,BizConsult,"adobe photoshop, illustrator, creativity",Remote,Full-time,2445802
98,Customer Support Specialist,BizConsult,"test case writing, selenium, bug tracking",Mumbai,Contract,1506914
99,Business Analyst,Global Travels,"salesforce, CRM, negotiation",Delhi,Internship,1464268
100,UX Designer,DesignCrafters,"node.js, express, mongodb",Delhi,Internship,1991615
101,Pharmacist,FinEdge Solutions,"check-in, phone etiquette, scheduling",Hyderabad,Part-time,1995156
102,Operations Manager,BuildRight Infra,"check-in, phone etiquette, scheduling",Mumbai,Full-time,2318802
103,Sales Executive,City Hospital,"curriculum planning, classroom management, communication",Hyderabad,Internship,1645459
104,Data Scientist,BizConsult,"sql, data analysis, tableau",Delhi,Contract,1644079
105,ML Engineer,InnovateX,"patient care, diagnosis, medical documentation",Pune,Full-time,1006753
106,Software Engineer,PharmaCare,"python, pandas, numpy",Mumbai,Part-time,718375
107,Operations Manager,HealthFirst Clinic,"react, javascript, css",Pune,Internship,828782
108,Network Engineer,TechNova,"excel, financial modeling, data interpretation",Bangalore,Contract,2464465
109,Cybersecurity Analyst,EduWise Academy,"java, spring, hibernate",Delhi,Part-time,824487
110,Business Analyst,BuildRight Infra,"react, javascript, css",Hyderabad,Internship,578123
111,Technical Writer,DevSolutions,"react, javascript, css",Pune,Internship,1281061
112,UX Designer,DreamWeddings Inc.,"excel, financial modeling, data interpretation",Mumbai,Internship,2358914
113,Data Scientist,DreamWeddings Inc.,"adobe photoshop, illustrator, creativity",Mumbai,Contract,2020015
114,Database Administrator,TechNova,"react, javascript, css",Pune,Full-time,1164637
115,Technical Writer,BrightFuture School,"aws, docker, kubernetes",Remote,Part-time,1270231
116,Product Manager,BuildRight Infra,"event coordination, client management, budgeting",Mumbai,Part-time,951117
117,Web Developer,HealthFirst Clinic,"autocad, site planning, structural analysis",Hyderabad,Part-time,1960027
118,Game Developer,City Hospital,"typing, accuracy, database entry",Delhi,Full-time,745249
119,Legal Advisor,BizConsult,"java, spring, hibernate",Hyderabad,Full-time,2256712
120,UX Designer,CreativeHub Agency,"react, javascript, css",Bangalore,Part-time,2027366
121,DevOps Engineer,Global Travels,"python, pandas, numpy",Delhi,Internship,1005364
122,Blockchain Developer,BuildRight Infra,"typing, accuracy, database entry",Mumbai,Contract,1399763
123,Web Developer,BuildRight Infra,"check-in, phone etiquette, scheduling",Remote,Part-time,1280271
124,UX Designer,DesignCrafters,"autocad, site planning, structural analysis",Remote,Part-time,667064
125,Web Developer,BrightFuture School,"inventory, hospitality management, POS systems",Remote,Full-time,1517675
126,Teacher,EduWise Academy,"python, pandas, numpy",Hyderabad,Internship,873867
127,Pharmacist,CreativeHub Agency,"figma, user testing, wireframing",Delhi,Internship,1587277
128,Legal Advisor,HealthFirst Clinic,"salesforce, CRM, negotiation",Mumbai,Full-time,1668328
129,Blockchain Developer,DesignCrafters,"patient care, diagnosis, medical documentation",Bangalore,Contract,1604610
130,Technical Writer,EduWise Academy,"customer service, ticketing, troubleshooting",Delhi,Part-time,2285456
131,Network Engineer,InnovateX,"autocad, site planning, structural analysis",Mumbai,Contract,2365176
132,Civil Engineer,TechNova,"patient care, diagnosis, medical documentation",Bangalore,Part-time,1672499
133,Technical Writer,BizConsult,"test case writing, selenium, bug tracking",Delhi,Full-time,1389833
134,UX Designer,FinEdge Solutions,"customer service, ticketing, troubleshooting",Mumbai,Full-time,907467
135,HR Coordinator,DataWiz,"customer service, ticketing, troubleshooting",Hyderabad,Full-time,969099
136,Account Director,TechNova,"legal documentation, compliance, case review",Mumbai,Contract,1172770
137,Network Engineer,EduWise Academy,"test case writing, selenium, bug tracking",Pune,Part-time,1814054
138,Teacher,CreativeHub Agency,"interviewing, HR software, conflict resolution",Pune,Full-time,1526543
139,QA Analyst,EduWise Academy,"adobe photoshop, illustrator, creativity",Hyderabad,Contract,828226
